scenario_label,name_0,name_1,vignette,reward_low,reward_high,action_0,action_1,action_2,action_3
basketball,Carissa,Josh,"Carissa and Josh are attending a basketball game together. During halftime, they go to the hot-dog stand in the arena. When they get to the stand, they realize that it's cash only, and that between them they only have enough cash to get one hot dog.",Neither of them is particularly hungry. ,They are both very hungry. ,They leave the stand without a hot dog and go back to the game. ,"They order a hot dog. One of them goes to find a knife from another food stand, while the other waits. When they get the knife, they cut the hot dog in half, and each eats from their own portion. ",They order a hot dog. They take bites from opposite ends of the hot dog until it is finished. ,They order a hot dog. They take bites from the same end of the hot dog until it is finished. 
birthday,Lio,Mitchell,"Lio and Mitchell are at a birthday party. The cake served is a dark chocolate cake with a raspberry sauce. After everyone sings happy birthday, the birthday person cuts the cake into slices and puts the slices on plates with forks. The slices are really large, and Lio and Mitchell both don't think they can finish a full slice. ","Lio feels neutral about dark chocolate raspberry cake, while Mitchell really likes it.",Lio and Mitchell both really like dark chocolate raspberry cake.,"Lio does not eat any cake. Mitchell eats the portion of one slice that he can finish, and then throws the rest away.",Lio and Mitchell decide to share one slice. They find a knife and use it to cut the slice in half. They get a second plate and put the half on it. They find another fork and each eat their own half.,"Lio and Mitchell decide to share one slice. They find another fork, and then use their own forks to eat the slice together from the same plate. ","Lio and Mitchell decide to share one slice. They share the single fork provided, to eat the slice together from the same plate. "
brunch,Allison,Dana,"Allison and Dana meet at a brunch restaurant together on Saturday morning. They each select their own dishes and then discuss what else to order. One intruiging choice is to also order a stack of the restaurant's famous pancakes to share, to eat for dessert after they eat their main dishes. They decide to wait until they have finished their main dishes, to decide whether to order the pancakes.","After eating their main dishes, Allison is mostly full, while Dana is still hungry.","After eating their main dishes, they are both still hungry.","They order the pancakes. Dana eats from the stack, and when she gets full she asks for a box so that she can take the remaining portion home. ","They order the pancakes. They ask for an unused fork and knife and wait for it to come. When they get the utensils, they use them to cut the portion of pancakes that they want, and place them on their own plates. ","They order the pancakes. Using their own utensils, they cut off slices of the stack as they go, transferring the slices to their own plates. ",They order the pancakes. They use their own utensils to eat directly from the stack of pancakes on the same plate. 
takeout,Emily,Elizabeth,"Emily and Elizabeth are at a conference for work. After a long day of events, they get back to the conference hotel. It is late and all the nearby places are closed, so they decide to order chicken tenders delivered to the hotel. When they open the bag, they see that the restaurant has only included one container of honey mustard dipping sauce. They look in the bag and see if the restaurant has included anything else, and see that the restaurant has included several ketchup packets.","Elizabeth likes both ketchup and honey mustard, while Emily prefers honey mustard sauce to ketchup.",Both Emily and Elizabeth prefer honey mustard sauce to ketchup.,"Emily and Elizabeth do not share the honey mustard sauce. Emily dips from the honey mustard sauce container, while Elizabeth uses the ketchup packets. ","They pour half of the sauce onto the box lid, so that each person has their own dipping portion. ",They both dip (and double dip) their own chicken tenders into the single sauce container. ,"They take turns biting and dipping the same chicken tender, passing it back and forth. "
cooking,Liana,Serina,"Liana and Serina are both major foodies who love cooking. They discover a new pasta recipe they're both excited to try, so they go to Serina's house in the evening to cook it together. They plan to enjoy their dinner while watching an episode of a TV show in the living room.","By the time the pasta is done, Serina realizes that she doesn't particularly want to eat the pasta anymore. ","By the time the pasta is done, it looks so good that they both want to dig in immediately.","Liana and Serina watch the TV show in the living room, but they do not share the pasta. Liana eats the pasta while Serina eats a salad. ","They use a shared serving utensil to transfer pasta from the pot onto their individual plates. They carry their plates to the living room, and use their own forks to eat the pasta from their own plates. When they want seconds, they return to the pot and serve themselves again with the shared utensil.","They each use their own forks to serve pasta from the pot onto their individual plates. They carry their plates to the living room. When they get seconds, they return to the pot and use the same forks they've been eating with to transfer more pasta. ","They bring the pot, and two forks, to the living room. They eat the pasta together directly from the pot."
apples,Camille,Haoyu,"Camille and Haoyu go apple picking together in the fall. At the orchard, there are many different apple varieties, including Red Delicious, Yellow Delicious, Honeycrisp, and Jonagold. At the entrance, the employees tell them that visitors are welcome to taste the apples. When they enter the orchard, the apple variety in the first aisle is the Jonagold variety. Camille picks an apple from a tree, to taste. ","Haoyu has tasted the Jonagold variety at this orchard before, so she is indifferent about tasting it.","Haoyu has not tasted the Jonagold variety at this orchard before, so she would like to taste it.",Camille takes bites out of the apple. Haoyu does not taste the apple. ,"Camille takes a bite out of the apple, and then passes it to Haoyu, who takes a bite out of the other side of the apple. They alternate taking bites out of opposite sides of the apple, but throw the apple away before their bites come into contact. ","Camille takes a bite out of the apple, and then passes it to Haoyu, who takes a bite out of the other side of the apple. They alternate taking bites out of the apple, starting from opposite sides. ","Camille takes a bite out of the apple, and then passes it to Haoyu, who takes a bite out of the same side of the apple. They alternate taking bites out of the same side of the apple. "
dip,Declan,Eric,"Declan and Eric are preparing snacks for a house party. They get two kinds of chips: tortilla chips and pita chips. They prepare two kinds of dips: a buffalo chicken dip, and a spinach and artichoke dip.  ","Neither of them thinks it's particularly important to try the chips with the different kinds of dips, before serving them to their guests.","They both want to try the chips with the different kinds of dips, before serving them to their guests.",Neither person tries the chips or dips before the party begins.,"They put different kinds of chips and dip on a plate, and try the dips with the chips, without double-dipping. ","They put different kinds of chips and dip on a plate, and try the dips with the chips. They sometimes double-dip the same chips back into the dips.","They put different kinds of chips and dip on a plate, and try the dips with the chips by dipping the chips into the dip, taking bites out of the chips, and handing the chips to the other to eat what's left."
drinks,Noah,Ria,"Noah and Ria are at a party. Noah is holding a drink that he tells Ria is a special cocktail that he invented, that he made himself at the bar. (It's tequila mixed with ice cream.) He tells Ria how good it is, suggesting she try it.",The drink does not sound good to Ria. She does not particularly want to try the drink. ,"The drink sounds good to Ria, and she wants to try it.",Ria does not drink any of Noah's drink. She goes to the bar and asks for her own separate drink.,"Ria gets another cup, and pours some of Noah's drink into that cup. They both sip from their own cups.","Ria takes Noah's cup and asks him what side of the cup he drank from, and sips from the opposite side.",Ria takes Noah's cup and sips from the exact same spot where he drank.
driving,Danielle,Sonia,"Danielle and Sonia are driving together from San Francisco to Sacramento. They leave at 6am. Right when they leave, they stop at a gas station to get an iced coffee. The coffee machine is out of order partway through pouring, so only one cup gets filled. ","Both of them got enough sleep last night, so they aren't particularly tired.","Both of them are extremely tired, and need the coffee to be able to stay awake. ","They do not share the coffee. Danielle, who is driving the car, drinks the coffee. ","They get another cup, and pour half of the coffee into the other cup. Danielle and Sonia each drink from their own cups. ",They get another straw. They share the same cup by sipping through their own straws. ,They share the same cup by sipping through the same straw. 
fair,Marianne,Lisa,"Marianne and Lisa are at the county fair. They've spent a day walking around. Around the time the fair is closing, the food trucks are giving out their leftover food. They both go to a food truck that sells fresh corn on the cob. The food truck gives them a large skewer of corn. They then go to some other food trucks, and get some funnel cake and also some fried cheese. They need to decide how to share all of the food. ","The corn looks okay, and they're more excited about the other food that they got. ","The corn looks especially appealing to both of them, even more so than the other food. ","They eat the food on their sides of the plate, and don't share the individual items of food. The corn is on Marianne's side of the plate, so she eats the corn.","Marianne finds cutlery and a plate, and uses it to cut half of the corn off the cob. She gives the plate to Lisa, while she eats the rest of the corn directly off the cob. ","Marianne eats one side of the corn on the cob, then hands it to Lisa to finish the other side.",Marianne and Lisa switch off taking bites directly from the same part of the cob.
gala,Elena,Todd,"Elena and Todd are at a fancy gala. Elena is deciding what to order, and asks Todd what he ordered. Todd said that he ordered a pumpkin spice martini and that that the bar offers many different types of interesting seasonal drinks. Intruigued, Elena decides to order an apple pie espresso martini. ","When the drinks come, Elena and Todd do not particularly want to try each other's drinks.","When the drinks come, Elena and Todd want to try each other's drinks.","They only drink from their own drinks, and do not try each other's drinks.","They get two straws. They use the straws to try each other's drinks, before drinking their own drinks directly from the rim of the glass.","They try each other's drinks by drinking directly from the rims of the glass. Then, when they drink their own drinks, they make sure to drink from the opposite side of the glass that the other used.","They try each other's drinks by drinking directly from the rims of the glass. Then, when they drink their own drinks, they do not pay attention to which side of the glass the other used."
hike,Tony,Alvin,"Tony and Alvin go on a day hike in New Hampshire. Alvin packs snacks and energy bars, while Tony brings peanut butter and jelly sandwiches. Halfway down the mountain, they take a snack break. Tony pulls out a sandwich, and offers to share some of the sandwich with Alvin. ","At this time, Alvin has more than enough snacks to fuel him for the rest of the hike. ","At this time, Alvin has finished all of the food he brought, and is tired and hungry. ","Alvin politely refuses, and Tony eats the sandwich himself. ","Tony digs out his backpacking knife from his pack. When he finds it, he uses it to cut the sandwich in half. He hands one half to Alvin.","Tony eats half of the sandwich first, and then hands the rest to Alvin to finish. ","Tony takes a few bites, and then hands the sandwich to Alvin. They continue passing it back and forth until it's gone. "
oysters,Will,Jay,"Will and Jay are at a seafood restaurant. They are interested in ordering the oyster platter. The server mentions that the restaurant has different types of oysters in stock, each type with unique flavors and notes. They decide to order one of each type of oyster. ",They are both indifferent to tasting all the different oyster types. ,They both would like to taste as many different oyster types as possible. ,They only eat the oysters (the meat and the brine) on their own sides of the platter. They do not share the individual oysters. ,"They use a knife to cut each of the oyster meats into half, and then use their forks to eat half of each oyster's meat. However, they only drink the brine from the oysters on their own sides of the platter. ","They each eat the oysters on their own sides of the platter, by eating the oyster meat directly from the shells. However, they let each other drink some of the remaining brine from the shells. ","They split each oyster directly from the shell, by each biting off half of the meat with their teeth, and drinking about half of the brine.  "
